339,참치머리구이,2.5,16.2,47.8,346
340,치킨데리야끼,51.7,30.7,56.2,707
341,키조개구이,18.8,3.7,31.4,234
342,표고버섯구이,14.5,0.8,3.5,79
343,함박스테이크,14.4,21.5,24.2,347
344,햄구이,2.6,51.4,26,577
345,갈비탕,2.7,13.8,57,363
346,감자된장국,14.8,2.4,4.3,98
347,감잣국,14.7,1.1,3.6,82
348,곰탕,0.7,6.7,20.6,145
349,굴무국,14.6,1.8,12,123
350,근대된장국,2.7,1.6,3.5,38
351,김치콩나물국,4.6,1.9,3.3,48
352,김칫국,10.5,3,5.4,90
353,꼬리곰탕,4.2,3.2,22.5,135
354,냉이된장국,8.8,2.6,6.9,86
355,달걀국,2.7,2.9,3.7,52
356,닭개장,9.9,3,19.2,142
357,닭곰탕,13,9.2,48.8,330
358,대합미역국,2.2,1.8,4.9,44
359,도가니탕,4.1,1.6,41.8,198
360,동태국,5.6,0.6,9.7,66
361,메밀묵국,14.3,1.6,4,87
362,무시래기된장국,8.1,0.9,5.2,61
363,미역국,3.5,2.5,2.6,46
364,미역냉국,26.3,2.3,0.7,128
365,미역된장국,9.1,3.9,6.3,96
366,미역오이냉국,3,0.5,1.3,21
367,배추된장국,10.3,1.6,5.8,79
368,북엇국,3.4,3.9,15.6,111
369,뼈해장국,8.5,7.8,25.6,206
370,사골국,11.2,9.7,22.2,220
371,삼계탕,34.6,43.2,96.1,911
372,새우미역국,7.3,1.8,4.4,63
373,새우탕,10,2.2,25.8,163
374,선짓국,7.4,5.7,23.2,173
375,설렁탕,1.8,2.9,21.3,118
376,쇠고기무국,4.4,2.5,5.3,61
377,쇠고기미역국,3.3,1,7.4,52
378,쇠고기배추국,4.6,1.6,7.3,62
379,순댓국,89.7,10.5,14.1,509
380,순두부달걀탕,3.3,7.1,6.2,102
381,시금치된장국,3.9,0.7,4.1,37
382,쑥된장국,6.1,1.9,4.9,60
383,아욱된장국,6.3,2.2,9.1,81
384,애호박된장국,5.6,5.2,13.4,122
385,어묵국,13.4,3.6,5.2,106
386,얼갈이배춧국,3.4,1.6,2,36
387,오이냉국,2.7,2.4,1.5,38
388,오징어국,3.6,3.7,11.1,91
389,우거지곰탕,9.1,2.1,8.3,88
390,우거지된장국,3.3,2.3,11.1,78
391,육개장,6.5,4.4,16.2,130
392,일본된장국,0.4,1.5,1.4,20
393,재첩국,15.9,1,2.3,81
394,조갯국,1,3.6,6.7,62
395,콩나물국,2.4,0.3,2.9,24
396,콩나물된장국,10.5,4.5,10.3,123
397,토란국,10.4,0.5,4,62
398,해물된장국,10.7,3.9,8.4,111
399,호박잎된장국,1.9,1.1,1.4,23
400,홍합무국,3,7.1,2.8,87
401,갓김치,1.9,0.5,1,16
402,고들빼기김치,5.8,0.7,1.5,35
403,깍두기,2.1,0.5,0.8,16
404,깻잎김치,4.5,0.9,1.4,31
405,나박김치,1.1,0.4,0.5,9
406,돌나물물김치,3,0.3,1.2,19
407,동치미,4.5,0.7,0.6,27
408,배추김치,1.3,0.3,0.7,10
409,백김치,2.1,0.5,0.9,16
410,보쌈김치,3.4,0.7,2,27
411,부추김치,3.2,0.6,1.3,23
412,얼갈이배추김치,8.7,1.2,1.3,50
413,열무김치,0.9,0.5,0.7,10
414,오이김치,4,0.6,1.4,26
415,오이소박이,4.4,0.9,1.7,32
416,총각김치,3.6,0.5,1,22
417,파김치,1.3,0.6,0.8,13
418,가죽나물무침,8,1.1,4.7,60
419,가지나물,2.1,0.8,0.7,17
420,건 취나물,3.2,2.7,1.8,44
421,고구마줄기나물,2.1,3.5,0.5,41
422,고사리나물,3.1,2.8,1.9,44
423,고춧잎나물,6.4,4.2,4,79
424,깻잎나물,2.5,2.6,1.3,38
425,냉이나물,9.4,1.8,3,66
426,도라지나물,6.6,3.8,1.2,65
427,머위대나물,2.4,1.3,2,28
428,무나물,1.8,0.2,0.3,10
429,방풍나물,8.6,1.4,3.5,60
430,배추나물,6.8,1.7,1.6,49
431,비름나물,4.6,3.2,2.8,58
432,숙주나물,1.5,0.8,1.1,17
433,시금치나물,1.7,2.2,1.9,34
434,시래기나물,3.9,3.6,2.2,56
435,씀바귀나물,14.9,1.6,3.5,87
436,애호박볶음,2.7,1.8,0.7,29
437,열무나물,4.3,4.8,3.5,74
438,열무된장나물,3.7,3.7,3.3,61
439,오이나물,0.4,6.5,1.5,66
440,유채나물무침,7,4.1,5.2,86
441,참나물무침,3.7,3.3,2.3,53
442,취나물된장무침,3.7,1.5,2.8,39
443,콩나물고춧가루무침,5.3,5.3,3.5,83
444,콩나물무침,1.6,2.3,1.9,34
445,토란대나물,3.8,3,4.6,61
446,톳나물무침,11,1.9,1.7,67
447,간짜장,75.7,24.4,25.6,625
448,고기만두,38.3,9.8,27.2,350
449,군만두,56.3,25.3,15.5,514
450,김치만두,37.4,10.5,22.5,334
451,달걀라면,95.3,17.5,14.4,596
452,떡국,114.6,3.7,24,588
453,떡라면,84,16.1,11.2,525
454,떡만두국,92.8,23.4,21.2,666
455,라면,75.1,12.5,9.5,450
456,막국수,143.4,9.6,34.8,799
457,만두,39.8,18,19,397
458,메밀국수,42.2,1,11,221
459,물냉면,72.2,4.5,13.7,383
460,물만두,35.9,25.6,18.5,448
461,미트볼 토마토 스파게티,88.1,44.4,36.7,898
462,바지락칼국수,111.8,3.7,24,576
463,볶음우동,74.4,6,8.4,385
464,비빔국수,102.4,4.8,15.1,512
465,비빔냉면,66.7,13.2,28.3,499
466,사골만두국,62.6,28,26.2,606
467,수제비,72,3.4,15,378
468,우동,97.7,25.8,14.3,679
469,월남쌈,30.6,12.4,14.9,293
470,잔치국수,56.3,3.4,13.5,310
471,쟁반국수,57.7,20.5,30,535
472,짜장면,86.2,13.3,16.2,529
473,짬뽕,66.1,12.3,22.3,464
474,쫄면,127.9,13.8,17.7,706
475,칼국수,104.3,3.5,23.1,540
476,콩국수,71.4,26.8,31.2,651
477,회냉면,111,20.1,29,741
478,검정콩밥,68.6,2.2,9.1,330
479,계란볶음밥,63,29.3,17.2,584
480,고추김밥,79.8,12.8,14.1,490
481,기장밥,73.5,1.1,6.9,331
482,김밥,46,10.5,11.1,322
483,김치김밥,51.8,10.9,11.6,351
484,김치볶음밥,51.9,30.3,17.6,550
485,낙지덮밥,84.4,11.7,20.6,525
486,날치알김밥,74.5,11.1,15.9,461
487,닭고기덮밥,60.8,8.9,46.8,510
488,돈까스김밥,101.2,18.6,18.5,646
489,돌솥비빔밥,93.8,11.2,20.5,558
490,돼지머리국밥,143.4,46.5,60.3,1233
491,모듬회덮밥,72.8,17,37.3,593
492,무밥,56.3,1.3,7.3,266
493,보리밥,73.5,0.5,5.8,321
494,볶음밥,118.9,9.7,19.5,640
495,불고기덮밥,107.8,21.2,26.4,728
496,비빔밥,84.8,19.4,30.9,637
497,새우볶음밥,84.5,22.7,23.3,635
498,생선모듬초밥,101.5,6.1,36.7,607
499,소머리국밥,27,7.5,15.8,239
500,쇠고기김밥,64.4,13.9,16.2,447
501,쇠고기볶음밥,56.6,16.9,19.7,456
502,쇠고기주먹밥,69.5,4.4,9.5,355
503,수수밥,70,1.8,6.3,321
504,순대국밥,93.5,20.6,28.6,673
505,알밥,52,16.9,15.6,422
506,영양돌솥밥,126.2,10,12,643
507,오므라이스,82.1,28.9,26,692
508,오징어덮밥,79,7.2,25.9,484
509,완두콩밥,62.5,0.3,5.9,276
510,유부초밥,59.6,11.5,11.6,388
511,육회비빔밥,68.8,10.1,19.2,442
512,잡곡밥,58.6,1.7,10.6,292
513,잡채밥,141.8,18.8,22.1,825
514,제육덮밥,79.2,50.6,44.3,949
515,짜장밥,73.2,22.2,20.1,572
516,짬뽕밥,104.9,12.6,28.8,647
517,차조밥,69.7,1.3,5.7,313
518,찰밥,94,0.5,12.3,429
519,참치김밥,50.7,18,17.5,435
520,참치마요삼각김밥,50.9,16.4,11.9,398
521,참치볶음밥,75.7,7.5,10.6,412
522,채소김밥,74.6,10.2,12.9,442
523,채소볶음밥,74.7,14,12.3,474
524,치즈김밥,59.7,19,16.9,476
525,카레라이스,99.5,6.7,14.9,518
526,콩나물국밥,85.2,1.9,11.3,403
527,콩나물밥,71.7,5.1,15,392
528,팥밥,64.5,0.2,6.6,286
529,표고버섯볶음밥,95.4,14.4,10.1,551
530,하이라이스,76.8,4.1,14.5,401
531,현미밥,89.5,1.1,7.1,396
532,흑미밥,80.1,0.2,6.5,348
533,감자채볶음,12.4,4.8,1.7,100
534,감자채소볶음,17,6.8,2.6,139
535,건새우볶음,1.1,2.6,8.3,60
536,고추볶음,8.2,3.2,1.9,69
537,김치볶음,7.3,7.9,1.4,106
538,꽈리고추멸치볶음,4,7,11.8,126
539,낙지볶음,17.2,7.5,11.5,182
540,느타리버섯볶음,3.4,3.1,1.4,47
541,닭가슴살피망볶음,1.1,4.5,13.1,97
542,닭발볶음,23.4,18.8,27.6,372
543,닭볶음,23.8,32.9,41.9,558
544,당근볶음,7,6,0.8,85
545,돼지고기김치볶음,13.6,23.1,27.2,371
546,돼지고기채소볶음,19.8,17.5,38.1,388
547,돼지곱창순대볶음,42.6,6.9,16.6,299
548,떡볶이,46.7,5.3,6.3,260
549,라볶이,40.3,9.4,5.7,268
550,마늘쫑볶음,18.4,3.6,4.5,123
551,마늘쫑잔멸치볶음,7.7,1.4,3.8,58
552,마파두부,8.6,10.4,11.7,174
553,멸치견과류볶음,9.2,12.2,15.2,206
554,멸치마늘쫑볶음,6.2,5.4,16.2,138
555,멸치볶음,6.8,3.5,19.7,137
556,묵은지삼겹살볶음,16.8,21,11.5,302
557,문어고추장볶음,17.2,2,21.9,175
558,미역줄기볶음,3.9,4.8,0.8,61
559,브로콜리볶음,5,1.1,4,46
560,새송이버섯볶음,11.1,9.6,3.5,145
561,새우볶음,11.9,4.4,19.8,166
562,소시지볶음,28.8,38.7,23.9,559
563,쇠고기고추장볶음,23.6,23.7,31.6,434
564,쇠고기버섯볶음,15.9,17.8,26.7,330
565,쇠고기볶음,5.4,43.2,33.2,543
566,쇠고기채소볶음,14.8,12.4,29.4,288
567,양파볶음,7.6,1.2,0.8,44
568,어묵볶음,34.1,10.2,11.8,275
569,어묵잡채,73.2,10.6,6.6,414
570,어묵채소볶음 ,15.5,5.8,5.7,136
571,오징어볶음,14.9,13,19.7,255
572,오징어채볶음,4.1,3,4.1,59
573,유산슬,9,9.7,16.6,189
574,잔멸치견과류볶음,11.3,11.1,12.2,193
575,잔멸치고추볶음,2.9,4,16.6,114
576,잔멸치꽈리고추볶음,4.6,8.7,12.4,146
577,잔멸치볶음,4.8,7.1,21.8,170
578,잔멸치풋고추볶음,8.5,4.2,14.1,127
579,잡채,48.5,6.6,9.4,291
580,제육볶음,11.8,35.5,30.4,487
581,죽순쇠고기볶음,8.7,12.9,31.5,276
582,참치 김치볶음,7.1,6.7,8.3,121
583,채소떡볶이,114.1,3.8,6.2,515
584,콩나물잡채,28.9,2.2,4.4,153
585,팔보채,7.5,6.4,27.3,196
586,풋고추멸치볶음,6.7,3,10.3,94
587,햄채소볶음,21.1,25,23,401
588,BLT샌드위치,18.6,29.6,20.9,423
589,감자크로켓,18.4,20.9,8.5,295
590,꽈배기,30.1,14.3,5.8,272
591,닭가슴살샌드위치,48.2,27.4,28,551
592,도넛,31.4,16.7,4.5,294
593,롤케이크,44,11.8,7.4,311
594,링도넛,46.2,33.2,7.9,514
595,마늘빵,29,8.8,6,219
596,머핀,76.9,18,7.4,499
597,모닝빵,36.5,5.2,6.7,219
598,모카빵,86.9,12.1,12.8,507
599,베이글,64.2,7,12,367
600,불고기버거,45.4,23,27.8,499
601,사과파이,34.8,3.9,2.5,184
602,생크림케이크,27.6,12.5,3.4,237
603,소보로빵,38.9,10.6,5.8,274
604,식빵,50.9,2.6,9.3,264
605,식빵토스트,51.5,13.8,8.8,365
606,찐빵,119.4,0.3,13,532
607,참치 샌드위치,34.5,29.1,26.3,505
